Fiat;2000;0.695;0.710;t
Citroen;1999;0.930;0.950;t
Volkswagen;1999;1.262;1.280;t
Opel;1998;1.247;1.260;t
Fiat;2005;0.955;0.970;t
Opel;1998;1.104;1.120;t
Fiat;2000;0.726;0.740;t
Renault;2000;0.975;0.990;t
Audi;2003;1.441;1.460;t
Renault;1999;0.995;1.010;t
Kia;2003;2.180;2.200;t
Peugeot;2004;1.501;1.520;t
Opel;2009;1.122;1.140;t
Skoda;1997;1.220;1.240;t
Renault;2004;1.475;1.490;t
Hyundai;2002;0.935;0.950;t
Volvo;2002;1.576;0.610;f
Volkswagen;1998;1.140;1.160;t
Daimlerchrysler;2000;1.055;1.070;t
Peugeot;2001;0.870;0.890;t
Kia;1998;1.297;1.100;t
Renault;2003;1.305;1.320;t
Volkswagen;2007;1.300;1.320;t
Renault;2001;1.565;1.580;t
Opel;2001;1.090;1.110;t
Mercedes-benz;1998;2.060;2.080;t
Kia;1998;1.550;1.570;t
Alfa-romeo;2000;1.440;1.460;t
Mazda;2002;1.240;1.260;t
Toyota;2005;0.940;0.960;t
Renault;1996;1.090;1.110;t
Opel;1998;1.287;1.300;t
Ford;1999;1.043;1.060;t
Chrysler;1997;1.310;1.330;t
Fiat;1998;0.825;0.840;t
Audi;1995;1.270;1.290;t
Alfa romeo;2002;1.150;1.170;t
Volkswagen;1996;0.995;1.010;t
Alfa romeo;2002;1.210;1.230;t
Mazda;2000;1.030;1.050;t
Audi;1995;1.230;1.250;t
Opel;2004;0.795;0.810;t
Ford;2005;1.660;1.680;t
Ford;1998;1.085;1.100;t
Renault;2002;1.355;1.370;t
Fiat;2004;1.000;1.020;t
Bmw;1994;1.150;0.910;f
Seat;2000;1.270;1.290;t
Volkswagen;2004;1.267;1.290;t
Opel;1999;1.169;1.190;t
Peugeot;2006;0.934;0.950;t
Opel;2001;2.130;2.150;t
Renault;2001;1.167;1.190;t
Opel;1996;0.915;0.930;t
Audi;1998;1.190;1.210;t
Daewoo;2000;0.680;0.650;t
Ford;1995;1.269;1.030;f
Volvo;2000;1.315;1.330;t
Peugeot;1999;0.985;1.000;t
Fiat;1999;0.780;0.800;t
Opel;2004;1.310;1.330;t
Opel;2001;0.965;0.980;t
Skoda;2001;1.225;1.240;t
Opel;1996;1.090;1.110;t
Opel;2000;1.030;1.050;t
Fiat;2003;1.064;1.080;t
Bmw;1992;1.165;0.890;f
Opel;2007;1.278;1.300;t
Volkswagen;2002;1.514;1.530;t
Ford;1996;1.568;1.580;t
Audi;2006;1.615;1.630;t
Opel;2002;1.320;1.340;t
Fiat;1999;0.740;0.760;t
Skoda;1998;0.895;0.910;t
Opel;2000;1.355;1.370;t
Renault;2002;0.880;0.900;t
Citroen;2007;1.906;1.920;t
Renault;2003;0.910;0.930;t
Ford;2001;1.391;1.410;t
Ford;2003;1.456;1.470;t
Citroen;2001;1.375;1.390;t
Renault;2001;1.525;1.540;t
Opel;1998;1.119;1.140;t
Audi;1998;1.205;1.220;t
Mercedes-benz;1998;1.796;1.810;t
Opel;2012;1.803;1.820;t
Toyota;1999;1.030;1.050;t
Fiat;2004;1.245;1.260;t
Volkswagen;1998;1.140;1.160;t
Audi;2006;1.465;1.480;t
Renault;1999;0.840;0.860;t
Ford;1999;1.126;1.140;t
Opel;1999;1.240;1.260;t
Fiat;2001;0.690;0.710;t
Honda;1998;1.030;1.050;t
Ford;2001;1.290;1.310;t
Skoda;2002;1.025;1.040;t
Daewoo;2000;0.990;1.010;t
Volkswagen;2002;1.095;1.110;t
Mercedes-benz;2002;1.160;1.180;t
Bmw;2001;1.495;1.510;t
Opel;1998;1.095;1.110;t
Bmw;2001;1.320;1.340;t
Seat;1998;0.880;0.900;t
Ford;2002;1.444;1.460;t
Audi;1999;1.125;1.140;t
Audi;1996;1.060;1.080;t
Citroen;2008;1.449;1.460;t
Audi;1990;1.123;1.140;t
Fiat;2005;0.800;0.820;t
Fiat;2004;0.715;0.730;t
Volkswagen;2004;1.533;1.550;t
Hyundai;1999;0.743;0.760;t
Citroen;2003;1.335;1.350;t
Fiat;1997;1.075;1.090;t
Bmw;1996;1.455;1.470;t
Mercedes-benz;1999;1.500;1.520;t
Ford;1998;0.900;0.920;t
Seat;2000;0.948;0.960;t
Hyundai;1998;0.986;1.000;t
Opel;2002;1.120;1.140;t
Bmw;1999;1.320;1.340;t
